customer_key,tenure,price_protection_flag,camp_data_rem_days,basic_flag,data_flag,residential_telephony_flag,age_1,estimated_hh_income_in_000,total_1mo_data_usage,total_6mo_data_usage,easy_pay_flag,hbo_flag,cinemax_flag,showtime_flag,starz_flag,sub_retention_30day,sub_informational_30day,sub_directmail_60day,sub_email_60day,added_psu_last_12mo,dropped_psu_last_12mo,uptier_video_last_12mo,downtier_video_last_12mo,dropped_video_last_12mo,added_video_last_12mo,total_calls_offered_60days,retention_calls_60days,sales_calls_60days,acct_services_calls_60days,collections_calls_60days,tech_support_calls_60days,total_calls_offered_90days,home_max_speed,competitor,psu_combo
100272857,74,0,0,0,1,0,39,35,300.54,3326.44,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
109176452,28,0,244,0,1,0,40,79,608.8,3365.15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
112818475,11,1,48,0,1,0,47,172,661.69,4977.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,ATT,D
109460129,27,0,0,0,1,0,64,11,551.42,3371.62,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,D
114108573,4,0,631,0,1,0,69,119,166.65,315.55,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D+H
112872344,11,1,55,0,1,0,29,49,785.19,4303.33,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,ATT,D
66450732,152,0,0,1,1,1,91,55,28.91,222.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ATT,V+D+P
20732251,200,0,0,1,0,0,61,102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V
20714792,200,0,0,1,1,1,74,49,337.73,1477.89,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
109755114,26,0,728,1,1,0,45,129,28.09,112.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1000,ATT,V+D
111332220,18,0,204,0,1,0,37,10,4.38,1174.04,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
109514095,27,0,292,0,1,0,36,48,390.61,2703.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,D
110147046,24,0,34,0,1,0,28,9,181.7,1332.3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ATT,D
72194770,120,0,0,0,1,0,70,45,120.85,795.98,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
55296453,199,0,576,1,1,0,65,197,401.51,3451.29,0,1,1,1,1,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,6,ATT,V+D
110109489,24,1,20,1,1,0,70,61,68.24,343.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+H
106207413,86,0,73,1,1,0,69,113,382.59,3386.76,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,75,ATT,V+D
111874943,18,0,201,0,1,0,42,67,324.45,1711.71,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
105671106,47,0,0,1,1,1,37,43,550.42,4551.5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
114543755,1,1,336,0,1,0,73,100,917.4,917.4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,ATT,D
108381765,33,0,0,1,1,0,51,23,0.07,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,ATT,V+D
20792932,200,1,150,1,1,1,69,49,71.37,672.65,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
20669147,200,0,0,1,1,1,40,94,34.64,225.42,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,ATT,V+D+P
61865587,200,0,0,1,1,1,89,11,2.16,24.53,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
108476103,33,0,0,1,1,1,36,70,362.03,2157.1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,1,0,0,0,0,1,50,ATT,V+D+P
20816691,200,0,0,1,0,0,78,26,0.66,5.02,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V
109137180,48,0,0,0,1,0,25,73,443.62,2283.58,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,D
107355177,38,0,0,0,1,0,38,108,565.58,3808.75,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
114644246,1,0,718,1,1,0,33,55,26.73,26.73,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D
20865105,200,0,0,1,1,1,74,57,299.19,1101.79,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,V+D+P
110786913,21,0,496,0,1,0,36,38,481.12,3197.06,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
107691073,33,0,0,1,1,1,61,136,967.7,5387.94,0,1,0,0,0,0,0,0,17,0,0,1,1,0,0,1,1,0,0,0,0,1,75,ATT,V+D+P
105143375,50,0,691,1,1,0,58,58,30.03,193.6,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,2,0,0,1,0,1,2,75,ATT,V+D
114037154,4,0,0,1,0,0,31,56,0.13,0.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,4,1000,ATT,V
107458917,38,0,0,1,1,0,51,98,166.05,880.38,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D
101360718,69,0,0,0,1,1,60,135,1621.87,8902.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D+P
100935514,72,0,638,1,1,0,79,182,64.66,499.88,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D
20700982,200,1,6,1,1,1,74,46,18.26,126.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
20858007,200,0,187,1,1,1,84,68,0.38,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,V+D+P
107714910,176,1,0,1,1,0,77,43,44.1,266.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,ATT,V+D
71815419,122,0,0,1,1,1,38,112,394.38,4247.48,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,V+D+P
113829137,5,0,586,0,1,0,45,58,665.58,3128.32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
20857825,200,0,381,1,1,1,52,250,113.19,545.38,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,2,1,0,1,0,0,2,1000,ATT,V+D+P
109594394,27,0,303,0,1,0,33,203,222.92,2028.26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
20751693,200,1,0,1,0,1,35,19,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1000,ATT,V+P
73740661,136,0,0,0,1,0,39,59,159.92,791.65,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
77488619,90,0,0,1,1,0,84,12,2.62,13.29,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ATT,V+D
76816250,94,0,171,1,1,1,74,16,110.22,713.24,0,1,1,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
72616445,118,0,0,1,1,0,38,59,292.45,1900.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D
105141488,183,0,373,1,1,1,64,181,53.78,399.15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,1,0,1,5,50,ATT,V+D+P
20840184,200,0,0,0,1,0,67,98,83.39,682.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,ATT,D
111873595,15,0,0,0,1,0,61,247,619.68,3119.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,ATT,D
100335444,109,0,0,1,1,1,24,125,208.63,1571.2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
72719628,116,0,19,0,1,0,69,27,406.23,2237.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
108220084,34,1,97,1,1,1,33,95,284.28,1605.86,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
114399077,5,0,606,0,1,0,26,16,1061.38,2017.97,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
20777783,199,0,185,1,1,1,58,34,319.36,2031.88,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,10,ATT,V+D+P
20757285,200,1,111,1,1,1,73,49,5.85,31.35,0,1,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1000,ATT,V+D+P
113906171,5,1,228,0,1,0,36,23,880.47,3523.58,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,45,ATT,D
107368464,29,0,234,0,1,0,49,146,185.58,976.34,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,D
20811159,200,0,149,1,1,1,67,14,32.18,115.64,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,1,0,1,2,50,ATT,V+D+P
20827530,200,0,0,1,1,0,39,49,51.31,686.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D
111186623,18,1,187,1,1,1,88,25,1.7,33.1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
20816921,200,1,172,1,1,1,82,40,38.26,390.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
20715748,200,1,177,1,1,1,74,34,26.6,147.26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,4,4,1000,ATT,V+D+P
111864203,15,0,0,0,1,0,52,64,733.39,4928.42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
113117445,24,0,381,0,1,0,37,37,121.76,773.39,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
106140954,45,0,0,1,1,1,57,250,137.67,744.09,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,ATT,V+D+P
112641410,12,1,23,0,1,0,59,18,403.4,2480.56,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,D
28576147,200,0,0,1,0,0,64,12,2.04,10.55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1000,ATT,V
107694613,37,0,0,0,1,0,39,94,264.4,1805.85,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,D
71072778,126,0,0,0,1,0,53,65,713.17,7208.12,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
112296373,13,0,370,0,1,0,63,53,562.1,3300.09,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0,0,1,25,ATT,D
78993498,82,0,25,0,1,0,48,137,1145.03,6622.05,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
70000355,132,0,0,1,1,1,90,129,1699.91,2887.87,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,ATT,V+D+P
111523759,17,0,294,0,1,0,26,23,885.04,5835,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ATT,D
20818902,200,1,606,1,1,1,45,75,12.71,389.8,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1000,ATT,V+D+P
111699551,16,0,252,0,1,0,41,25,241.61,1419.22,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
20737730,200,0,621,0,1,1,63,157,96.76,721.56,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,25,ATT,D+P
66271941,153,0,0,0,1,0,38,137,221.75,1429.64,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
